measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,491,Cardiovascular diseases,3,Rate,1990,5587.039336160981,5718.035087956822,5439.491207172585
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,491,Cardiovascular diseases,3,Rate,1990,3674.6950344284905,3825.5382620377704,3378.5406659910896
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,491,Cardiovascular diseases,3,Rate,1990,4618.237684189274,4741.429362172159,4395.987155671237
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1990,5383.844011228064,5517.872577174236,5214.76702837137
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1990,2720.1055092979464,2826.3063734864113,2510.3310663864327
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1990,3938.486687347979,4046.188244238763,3742.1850429357
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,626,Musculoskeletal disorders,3,Rate,1990,25.560178510232532,32.56543119140265,17.672457399302143
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,626,Musculoskeletal disorders,3,Rate,1990,62.918488908959034,94.43834135587535,37.703148919538435
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,626,Musculoskeletal disorders,3,Rate,1990,44.486055401945634,60.68193445338052,31.23937768307719
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1990,24.00156500048137,30.151104745352544,16.41445283607607
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1990,51.178582240292904,77.97306503047142,31.488378246740528
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1990,38.43901058964197,53.119105695423535,27.247777739961585
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,640,Other non-communicable diseases,3,Rate,1990,752.8606190029585,805.2238845363469,623.074513426806
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,640,Other non-communicable diseases,3,Rate,1990,555.7472634024474,590.7466641165213,495.3129068351973
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,640,Other non-communicable diseases,3,Rate,1990,653.0021655024788,690.0199979553996,569.8917544864803
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1990,909.4476936858997,974.4028417504212,762.3279047183322
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1990,709.8608095533352,757.6333136002089,625.9037531209843
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1990,809.0171067873374,858.4006711267699,703.2772188605279
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,653,Skin and subcutaneous diseases,3,Rate,1990,10.374534090993217,27.64378590356531,5.976583955521417
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,653,Skin and subcutaneous diseases,3,Rate,1990,10.148739042088714,16.666864686193204,6.135737659433703
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,653,Skin and subcutaneous diseases,3,Rate,1990,10.260145371248798,19.245700818911573,7.556403212207751
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,1990,10.335603858194618,27.292150666014948,5.878517987717542
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,1990,7.933378251979912,13.326296798916145,4.900193863507539
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,1990,9.035258192876816,16.95242841759814,6.698012253824847
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1990,479.82904700844483,541.661171275621,437.54629911871837
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1990,347.472432159396,390.3089620746414,314.6442351038578
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,962,Maternal and neonatal disorders,3,Rate,1990,412.77663024490835,461.22440980742056,379.480391168733
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,644.0926729334866,727.0780569600277,587.2659135550099
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,499.6100418943545,561.4659689807988,452.04127828549366
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,573.759294220089,641.3908366983919,527.1269454537013
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,973,Substance use disorders,3,Rate,1990,238.0488828205692,252.07639511024877,225.38473111107425
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,973,Substance use disorders,3,Rate,1990,85.84195597036472,91.2993934382298,80.54606759449086
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,973,Substance use disorders,3,Rate,1990,160.94021465844736,169.5643615266632,153.50534112249144
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,973,Substance use disorders,3,Rate,1990,210.14013091390916,222.3627432418897,199.1655578260796
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,973,Substance use disorders,3,Rate,1990,76.04483851267973,80.76567016760791,71.28916845546915
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,1990,141.54847174063949,148.85833914994285,134.9079528231145
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,526,Digestive diseases,3,Rate,1990,670.7507548888626,691.3418873026652,650.4194852118949
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,526,Digestive diseases,3,Rate,1990,453.39035248745586,472.93373808745986,425.0230990819881
