Measure,Age,Sex,Year,Value,Upper_UL,Lower_UL
DALYs,All Ages,Both sexes,1990,26638,29975.199,23670.199
DALYs,All Ages,Both sexes,2019,27335.9,31173.301,23882.5
DALYs,Age-standardized,Both sexes,1990,24247.5,27249.9,21542.6
DALYs,Age-standardized,Both sexes,2019,19683.699,22813.801,16877.1
DALYs,All Ages,Males,1990,28559.699,31454.9,26025.6
DALYs,All Ages,Males,2019,28048.301,31578.301,24952.1
DALYs,Age-standardized,Males,1990,27614.699,30358.4,25218
DALYs,Age-standardized,Males,2019,20739.5,23559.699,18213.699
DALYs,All Ages,Females,1990,24766.4,28610.4,21444.4
DALYs,All Ages,Females,2019,26645.9,30872,22855.801
DALYs,Age-standardized,Females,1990,21468.9,24880.199,18492.699
DALYs,Age-standardized,Females,2019,18765.301,22287.199,15692
YLLs,All Ages,Both sexes,1990,15328.5,15405.1,15259
YLLs,All Ages,Both sexes,2019,13773.4,13999.4,13562.1
YLLs,Age-standardized,Both sexes,1990,13932,14001.4,13867.4
YLLs,Age-standardized,Both sexes,2019,8963.5996,9171.5,8772.7998
YLLs,All Ages,Males,1990,18597.4,18704.199,18493.4
YLLs,All Ages,Males,2019,15825.4,16099.3,15570.5
YLLs,Age-standardized,Males,1990,18194.199,18298.5,18091.699
YLLs,Age-standardized,Males,2019,10956.5,11216.1,10719.3
YLLs,All Ages,Females,1990,12144.9,12222.8,12071.1
YLLs,All Ages,Females,2019,11785.7,11965.2,11616.5
YLLs,Age-standardized,Females,1990,10256.4,10320.5,10195.5
YLLs,Age-standardized,Females,2019,7120.7002,7277.3999,6976.1001
YLDs,All Ages,Both sexes,1990,11309.5,14702.3,8360.0996
YLDs,All Ages,Both sexes,2019,13562.5,17380.199,10140.5
YLDs,Age-standardized,Both sexes,1990,10315.5,13379.2,7631.3999
YLDs,Age-standardized,Both sexes,2019,10720.1,13795.9,7955.2002
YLDs,All Ages,Males,1990,9962.2998,12867.2,7430
YLDs,All Ages,Males,2019,12222.9,15637.6,9140.7002
YLDs,Age-standardized,Males,1990,9420.5,12168.4,7025.2998
YLDs,Age-standardized,Males,2019,9783,12543.3,7259.7998
YLDs,All Ages,Females,1990,12621.5,16503.9,9294.5
YLDs,All Ages,Females,2019,14860.2,19091.5,11084.7
YLDs,Age-standardized,Females,1990,11212.6,14644.2,8225.7998
YLDs,Age-standardized,Females,2019,11644.5,15179.5,8632.5996
